product_name,image_count,product_text
PVC Encased Air Stone,4,"Description:Aqua One PVC Encased Air Stone.Length:10""20""32""42""Aqua One Pvc Encased Air Stone Ideal For:Circulating the water in your tank or AquariumFeatures & Benefits:Multiple SizesHelps to Enrich Oxygen LevelsHigher Water QualityHelps with Filtration System EfficiencySuitable For:All Fish Types and Tan"
LCD Digital Thermometer,4,"Description:
Aqua One LCD Electronic Thermometer

Aqua One LCD Electronic Thermometer Ideal for:
Every fish species have specific temperature requirements, the Aqua One LCD Electronic Thermometer will allow you to keep an eye on your aquarium with an accurate reading.

Features & Benefits:
Digital Readout Located Outside the Tank for Easy AccessEasy, Accurate ReadingsBoth Celsius and FahrenheitIn-Water Probe Delivers Accurate ResultsSuitable For:Any Temperatur"
Filter Media Bag Small,4,"Description:
Aqua One Filter Media Bag

Size: 

SmallMediumLargeAqua One Filter Media Bag Suitable For:Use with canister, internal and wet-dry filters, this bag can be filled with your chosen filtration media to promote cleaner water in aquariums and fish tanks.

Features & Benefits: 

Multiple SizesDurable and Re-UsableEconomical ChoiceSuitable For:Internal and Wet-Dry Filte"
Air Stone 2inch,1,"Description:
Aqua One 2"" Air Stone

Aqua One 2"" Air Stone Ideal for:
Replacing oxygen in the water, by breaking the surface tension of the water, oxygen may be absorbed into the water to replenish the supply.

Features & Benefits:
Helps to Enrich Oxygen LevelsHigher Water QualityHelps with Filtration System EfficiencySuitable for:All Tan"
Air Stone 1inch 2 Pack,1,"Description:Aqua One 1"" Air Stone - 2 Pack

Aqua One 1"" Air Stone Ideal for:
Replacing oxygen in the water, by breaking the surface tension of the water, oxygen may be absorbed into the water to replenish the supply.

Features & Benefits:
Helps to Enrich Oxygen LevelsHigher Water QualityHelps with Filtration System EfficiencySuitable for:All Tan"
Air Stone 3_4inch 3 Pack,1,"Description:
Aqua One 3/4"" Air Stone - 3 Pack

Aqua One 3/4"" Air Stone - 3 Pack Ideal for:
Replacing oxygen in the water, by breaking the surface tension of the water, oxygen may be absorbed into the water to replenish the supply.

Features & Benefits:
Helps to Enrich Oxygen LevelsHigher Water QualityHelps with Filtration System EfficiencySuitable for:All Tan"
Air Stone Ball,4,"Description:
Aqua One Air Stone - Ball

Size:
1""2""

Aqua One Air Stone Ball Ideal for:
Replacing oxygen in the water, by breaking the surface tension of the water, oxygen may be absorbed into the water to replenish the supply.

Features & Benefits:
Helps to Enrich Oxygen LevelsHigher Water QualityHelps with Filtration System EfficiencySuitable for:All Tan"
Flexible Air Stone Tube,1,"Description:
Aqua One Flexible Air Stone

Aqua One Flexible Air Stone Ideal for:
Replacing oxygen in the water, by breaking the surface tension of the water, oxygen may be absorbed into the water to replenish the supply.

Pipe Length:
90cm120cm

Features & Benefits:
Bend into any shape you need to create the look you desire.Create less back pressure than traditional air stones, which reduces damage to your air pump.Higher Water QualityHelps with Filtration System EfficiencySuitable For:All Tan"
4 in 1 Scraper and Cleaner,4,"Description:
Aqua One 4 in 1 Scraper and Cleaner

Handle Length:
35cm45cm60cm

Aqua One 4 in 1 Scraper and Cleaner Ideal for:
For those hard to reach corners.

Features & Benefits:
Multiple SizesBlade to Remove Build-Up from WallsLong Handle for Easy AccessSoft Sponge for PolishingNylon Scourer for Those Tough SpotsPlanting Tool on the Handle

Suitable for:
All Fish Types and Tan"
Inlet Pipe Set 1100_1400,1,"Description:
Aqua One Inlet Pipe Set 1100/14"
Aqua One - Outlet Pipe Set 600_800,1,"Description:
Aqua One -  Outlet Pipe Set 600/8"
Aqua One - Tap Set 1100_1400,1,"Description:
Aqua One - Tap Set 1100/14"
Aqua One - Tap Set 2700,1,
Aqua One - Tap Set 600_800,1,
Aqua One - U Pipe Set 600_800,1,
Aqua One - Vac a Tank,5,"Description:
Aqua One Vac A Tank

Tube Depth:
12.5cm25cm40cm60cm

Features & Benefits:
Cleans Your Gravel of WasteUse as an Aid to Your Essential Water ChangesMedium Flow for Medium Aquariums and All Gravel SizesShake to Sta"
Clear View Replacement Cartridge,1,"Tank Modle:
751002003005008"
Aqua Start 320 Replacement Cartridge,1,
Eco Style 42_47 Replacement Cartridge,1,
Nautilus 1100_1400 Impeller,1,"Description:
Nautilus 1100/1400 Impell"
Nautilus 2700 Impeller,1,
Aqua One - Midi Float,4,"Description:
Aqua One Midi Float - Guppy Tank

Features & Benefits:
FloatsEasy to AssembleCan be set up to suit your individual needs.Ideal isolation chamber for pregnant fish.Provides a safe haven for weak or sick fish.Base separator provides protection for new born fry.Can be fixed to any part of the aquarium using the suction cups supplie"
 Aqua One - Mini Float,1,"Description:
Aqua one Mini Float

Features & Benefits:
FloatsEasy to AssembleCan be set up to suit your individual needs.Ideal isolation chamber for pregnant fish.Provides a safe haven for weak or sick fish.Base separator provides protection for new born fry.Can be fixed to any part of the aquarium using the suction cups supplie"
Floating Magnet Cleaner 5MM-16MM,4,"Description:
Floating Magnet Cleaner for clean and clear glass every time.Size:0-5mm0-12mm0-16mm0-8"
3 in 1 Algae Scraper,4,"Description:
The Seachem Algae Scraper is designed with versatility in mind. With three retractable blades: metal, plastic, and soft pad, it is suited for both glass and acrylic aquariums. It is lightweight and features an ergonomic handle making it comfortable to hold in multiple positions. In addition, it floats for easy retrieval. Finally, its white color makes it easy to see the algae you want to remove and when you’ve effectively removed it.

Length:
12"" (31cm)18"" (46cm) 

Features & Benefits:
Ergonomic handle allows for easy use in multiple positions.Retractable blade housing safely hides blade while not is use.White design contrasts with algae so you can see what you are removing.Floats for Easy RetrievalHandle Hole for Hanging Stora"
3 in 1 Algae Scraper Blade Refill,1,"Description:
Seachem 3 in 1 Algae Scraper Blade Refil"
3 in 1 Algae Scraper Pad Refill,1,"Description:
Seachem 3 in 1 Algae Scraper Pad Refil"
3 in 1 Algae Scraper Cartridge Replacement,1,"Description:
Seachem 3 in 1 Algae Scraper Cartridge Replacemen"
Aqua One Dial a Diet,4,"Description:
Make feeding time a breeze with the Aqua One Dial a Diet!

The automatic feeder can be set to feed up to 5 times a day, and up to 3 portions per feed! This allows for different quantities to be fed at different times throughout the day. Fish feeding has just become simpler! Suitable for: Coldwater, Tropical & Marine.

Features & Benefits:
Can be set to feed up to 5 times a day and up to 3 portions per feed.Clear easy to read LCD screen with built in digital clock for accurate feed times.Suitable for use with dry foods (i.e. flakes, pellets etc).Can be used manually or set to feed automatically.

Suitable for:
Coldwater, Tropical & Mari"
101F Maxi Internal Sponge Replacement,1,"Description:
Aqua One 25s Sponge Replacement to suit 101F Internal Filter.

Aqua One 25s Sponge Replacement Designed For:
102F Maxi Internal Filter

Features & Benefits:
Easy to InstallRemoves Harmful Toxins1 per PackBiological Filter SpongeSuitable for:102F Maxi Internal Filt"
Clear View Replacement Cartridge,1,"Tank Modle:
751002003005008"
Aqua Start 320 Replacement Cartridge,1,
Eco Style 42_47 Replacement Cartridge,1,
Nautilus 1100_1400 Impeller,1,"Description:
Nautilus 1100/1400 Impell"
Nautilus 2700 Impeller,1,
Tidal Replacement Impeller,1,"Filter Modle:
55751"
Clear View,1,
Aqua Start Replacement Cartridge,1,
Eco Style 320 Replacement Cartridge,1,
Fluval Gravelvac,5,"Description:
Multi-Substrate Cleaner great for all sizes of substrate.

Size:
20-50cm20-60"
Course Fish Net,5,"Description:
Aqua One Coarse Fish Net

Size:
3""4""5""6""8""10""12""

Aqua One Coarse Fish Net Ideal for:
 Checking, adding or removing fish from your aquarium without the risk of injury. Can also be used to remove dead plants.

Features & Benefits:
Multiple SizesLong HandleIdeal for both Small and Large AquariumsSuitable for:All Fish Types and Tan"
Plant Weights,4,"Description:
Aqua One Plants Weights are safe for your aquarium and its inhabitants. Plant Weights act as an anchor to hold down your artificial or live plants firmly to the base of your aquarium.

Features & Benefits:
Soft and malleable lead weight holds your plants firmly down.Easy to UseDoes not crack from use and can easily be cut smaller if desired.10 pieces per pack with each plant weight weighing approximately 5 grams each.Suitable for: 
Plan"
Tidal Replacement Impeller,1,"Filter Modle:
55751"
3 in 1 Algae Scraper,4,"Description:
The Seachem Algae Scraper is designed with versatility in mind. With three retractable blades: metal, plastic, and soft pad, it is suited for both glass and acrylic aquariums. It is lightweight and features an ergonomic handle making it comfortable to hold in multiple positions. In addition, it floats for easy retrieval. Finally, its white color makes it easy to see the algae you want to remove and when you’ve effectively removed it.

Length:
12"" (31cm)18"" (46cm) 

Features & Benefits:
Ergonomic handle allows for easy use in multiple positions.Retractable blade housing safely hides blade while not is use.White design contrasts with algae so you can see what you are removing.Floats for Easy RetrievalHandle Hole for Hanging Stora"
3 in 1 Algae Scraper Blade Refill,1,"Description:
Seachem 3 in 1 Algae Scraper Blade Refil"
3 in 1 Algae Scraper Pad Refill,1,"Description:
Seachem 3 in 1 Algae Scraper Pad Refil"
3 in 1 Algae Scraper Cartridge Replacement,1,"Description:
Seachem 3 in 1 Algae Scraper Cartridge Replacemen"
LCD Digital Thermometer,4,"Description:
Aqua One LCD Electronic Thermometer

Aqua One LCD Electronic Thermometer Ideal for:
Every fish species have specific temperature requirements, the Aqua One LCD Electronic Thermometer will allow you to keep an eye on your aquarium with an accurate reading.

Features & Benefits:
Digital Readout Located Outside the Tank for Easy AccessEasy, Accurate ReadingsBoth Celsius and FahrenheitIn-Water Probe Delivers Accurate ResultsSuitable For:Any Temperatur"
Filter Media Bag Small,4,"Description:
Aqua One Filter Media Bag

Size: 

SmallMediumLargeAqua One Filter Media Bag Suitable For:Use with canister, internal and wet-dry filters, this bag can be filled with your chosen filtration media to promote cleaner water in aquariums and fish tanks.

Features & Benefits: 

Multiple SizesDurable and Re-UsableEconomical ChoiceSuitable For:Internal and Wet-Dry Filte"
Fluval,1,
Nautilus Filter,1,"Filter Model: 

1100140027002700UVC6008"
Aqua One Mini 302F Internal Filter,4,"Description:
The Aqua One Mini Internal Filter range offers an effective biological, chemical and mechanical filtration solution specially designed for compact aquariums.

302F Mini Internal Filter 450l/Hr 240V

Features & Benefits:Fully SubmersibleSilent OperationIncludes different outlet options including: Spray Bar, Duckbill and Venturi.Includes suction cups to securely fix the unit to the side of the aquarium.Includes Carbon Cartridge

Spare Parts:
25035C - Carbon Cartridge - 301 Series (2pk) 130

Additional Info:
Item Code: 11337Description: 302F Mini Internal Filter 450l/hr 240VDimensions: 14H x 4.5W x 5.5D cmMax Aquarium Vol.: 25LFlow Rate: 450L/HrWattage: 6.5WVoltage: 220 - 240V

Suitable for:
Coldwater, Tropical & Marine

2 + 1 Year Guarant"
Aqua One Mini 301F Internal Filter,1,"Description:
The Aqua One Mini Internal Filter range offers an effective biological, chemical and mechanical filtration solution specially designed for compact aquariums.

301F Mini Internal Filter 250l/Hr 240V

Features & Benefits:Fully SubmersibleSilent OperationIncludes different outlet options including: Spray Bar, Duckbill and Venturi.Includes suction cups to securely fix the unit to the side of the aquarium.Includes Carbon Cartridge

Spare Parts:
25035C - Carbon Cartridge - 301 Series (2pk) 130

Additional Info:
Item Code: 11336Description: 301F Mini Internal Filter 250l/hr 240VDimensions: 13H x 4W x 3D cmMax Aquarium Vol.: 15LFlow Rate: 250L/HrWattage: 3.5WVoltage: 220 - 240V

Suitable for:
Coldwater, Tropical & Marine

2 + 1 Year Guarant"
Aqua One Mini 300F,1,"Description:
The Aqua One Mini Internal Filter range offers an effective biological, chemical and mechanical filtration solution specially designed for compact aquariums.

300F Mini Internal Filter 150l/Hr 240V

Features & Benefits:Fully SubmersibleSilent OperationIncludes different outlet options including: Spray Bar, Duckbill and Venturi.Includes suction cups to securely fix the unit to the side of the aquarium.Includes Carbon Cartridge

Spare Parts:
25035C - Carbon Cartridge - 301 Series (2pk) 130

Additional Info:
Item Code: 11335Description: 300F Mini Internal Filter 150l/hr 240VDimensions: 12.5H x 3.5W x 3D cmMax Aquarium Vol.: 10LFlow Rate: 150L/HrWattage: 2.5WVoltage: 220 - 240V

Suitable for:
Coldwater, Tropical & Marine

2 + 1 Year Guarant"
Aqua One Maxi 101F Internal Filter,1,"Description:
The Maxi range of Internal Filters offer an effective biological and mechanical filtration solution for the smaller aquarium. With different outlet options, including spray bar, the filter can be customised based on the needs of the aquarium.

101F Maxi Int Filter 350 L/Hr

Features and Benefits:Proven Reliability and Silent RunningCompletely submersible sealed motor, economical to run.Provides mechanical and biological filtration with high quality foam as media.Built in Venturi Aeration NozzleComplete with suction cups for fixing to the side of the aquarium.1.8m cable2 + 1 Year Guarantee

Spare Parts:
25001I - Impeller Set - 101 Series 1i25025S - Sponge - 101 Series (1pk) 25s

Additional Info:
Item Code: 11331Description: 101F Maxi Int Filter 350 L/hrMax. Flow Rate: 350L/HrDimensions: 16 x 4.5 x 7 cmAquariums up to: 55LWattage: 4.2WVoltage: 230/50Hz

Suitable for:
Coldwater, Tropical & Marine

2 + 1 Year Guarant"
Aqua One Maxi 102F Internal Filter,1,"Description:
The Maxi range of Internal Filters offer an effective biological and mechanical filtration solution for the smaller aquarium. With different outlet options, including spray bar, the filter can be customised based on the needs of the aquarium.

102F Maxi Int Filter 450 L/Hr

Features & Benefits:Proven Reliability and Silent RunningCompletely submersible sealed motor, economical to run.Provides mechanical and biological filtration with high quality foam as media.Built in Venturi Aeration NozzleComplete with suction cups for fixing to the side of the aquarium.1.8m cable2 + 1 Year Guarantee

Spare Parts:
25026I - Impeller Set - 102 Series 26i25026S - Sponge - 102 Series (2pk) 26s

Additional Info:
Item Code: 11332Description: 102F Maxi Int Filter 450 L/hrMax. Flow Rate: 450L/HrDimensions: 23 x 4.5 x 8.5 cmAquariums up to: 75LWattage: 8WVoltage: 230/50Hz

Suitable for:
Coldwater, Tropical & Marine

2 + 1 Year Guarant"
Aqua One Maxi 103F Internal Filter,1,"Description:
The Maxi range of Internal Filters offer an effective biological and mechanical filtration solution for the smaller aquarium. With different outlet options, including spray bar, the filter can be customised based on the needs of the aquarium.

103F Maxi Int Filter 960 L/Hr

Features and Benefits:Proven Reliability and Silent RunningCompletely submersible sealed motor, economical to run.Provides mechanical and biological filtration with high quality foam as media.Built in Venturi Aeration NozzleComplete with suction cups for fixing to the side of the aquarium.1.8m cable2 + 1 Year Guarantee

Spare Parts:
25027I - Impeller Set - 103 Series 27i25027S - Sponge - 103 Series (2pk) 27s

Additional Info:
Item Code: 11333Description: 103F Maxi Int Filter 960L/hrMax. Flow Rate: 960L/HrDimensions: 28.5 x 6 x 8 cmAquariums up to: 100LWattage:15WVoltage: 230/50Hz

Suitable for:
Coldwater, Tropical & Marine

2 + 1 Year Guarant"
Aqua One Maxi 104F Internal Filter,1,"Description:
The Maxi range of Internal Filters offer an effective biological and mechanical filtration solution for the smaller aquarium. With different outlet options, including spray bar, the filter can be customised based on the needs of the aquarium.

104F Maxi Int Filter 1480 L/Hr

Features and Benefits:Proven Reliability and Silent RunningCompletely submersible sealed motor, economical to run.Provides mechanical and biological filtration with high quality foam as media.Built in Venturi Aeration NozzleComplete with suction cups for fixing to the side of the aquarium.1.8m cable2 + 1 Year Guarantee

Spare Parts:
25028I - Impeller Set - 104 Series 28i25028S - Sponge - 104 Series (2pk) 28s

Additional Info:
Item Code: 11334Description: 104F Maxi Int Filter 1480 L/hrMax. Flow Rate: 1480L/HrDimensions: 33.5 x 7 x 9 cmAquariums up to: 180LWattage: 30WVoltage: 230/50Hz

Suitable for:
Coldwater, Tropical & Marine

2 + 1 Year Guarant"
Clear View Hang on Filter,4,"Filter Model:
20030050075

Features & Benefits:
Flow regulator which can be used to adjust the water flow through the filter.The combination of wool, carbon and bio grid provides a complete and very compact filtration solution.Available in a Range of SizesExcellent oxygen levels achieved due to the design.Built in power heads offer high water turn over rates.High Quality Media Content2 + 1 Year Guarantee

Replacement Parts/Media:25054I - Impeller Set - 100 ClearView 54I25054S - Sponge - 100 ClearView (2pk) 54S25054C - Cartridge Carbon - 100 ClearView (2pk) 54CAdditional Info:Item No: 11526Description: 100 ClearView Hang On Filter 180L/hrFor Aquariums up to (L/G): 40L/9GMax. Flow Rate: 180L/hrWattage: 3WVoltage: 230V/50HzSuitable for:Coldwater, Tropical & Mari"
Tidal Power Filter,1,"Filter Model:
1105575"
Aqua One Air Pump,1,"Pump Types:
PRECSION 1500PRECSION 2500PRECSION 7500PRECSION 9500PRECSION 120"
Aqua One 150 Battery Air Pump,4,"Description:
The Aqua One portable Battery Air 150 is a great high performance single  outlet air pump, which is the perfect solution for transporting live  fish. The Battery Air 150 runs on 2 x D batteries (sold separately).

Features & Benefits:
High performance single outlet Air PumpsComplete with Air Stone & AirlineImproves dissolved oxygen in your tank, bucket or fish bagIdeal for use when transporting live fish, bait or during a power failureConvenience of battery operationAdditional Info:Item Code: 
10022Description: 
Battery Air 150Max Flow Rate: 
150L/hrNo. of Outlets: 
1Battery Type: 
2 x DSuitable for:Coldwater, Tropical & Mari"
Serenity Air Pump,1,"Pump Types:
SAP00SAP01SAP"
Battery Air Pump 250c,4,"Description:
The Aqua One portable Battery Air 250C is a great high performance  single outlet air pump, which is the perfect solution for transporting  live fish.

The Battery Air 250C runs on 2 x D batteries (sold separately) or the  supplied 12V car cigarette lighter power supply, allowing for an  uninterrupted air supply. When the 12V cable is connected, power will be  drawn from the power supply to conserve battery power.

Features & Benefits:
High performance single outlet Air Pumps.Complete with Air Stone & AirlineImproves dissolved oxygen in your tank, bucket or fish bag.Ideal for use when transporting live fish, bait or during a power failure.Convenience of Battery OperationIncludes 12V car cigarette lighter as an alternative power source to conserve battery.Additional Info:Item Code: 10024Description: Battery Air 250C Portable 150 W/cigarette Lighter PlugMax Flow Rate: 150L/hrNo. of Outlets: 1Battery Type: 2 x DSuitable for:Coldwater, Tropical & Mari"
LP 100 HI Vol Air Pump,1,
Resun LP60 HI Vol Air Pump,1,
Sedra F_P Pump,1,"Pump Model:
10002000300050007"
Hailea Double Air Pump,1,
Hailea Pond Series,1,"Pump Model:
H4000H60"
Hailea Single Air,1,
Aqua One Moray 480 Pump,1,"Description:
Aqua One Moray Aquarium Pumps provide water circulation and aeration in freshwater and salt water aquariums. The latest range of Moray pumps are energy efficient, quiet, reliable and versatile and are available in a range of sizes to suit various aquatic environments.

480 Moray PH 720 L/Hr 0.96 Mh/H

Features & Benefits:Fully SubmersibleOil free motor ensures no toxic chemicals are released into the aquarium.Multipurpose - Can also be used for running devices such as protein skimmers, fountains, waterfalls and ponds (applies to 2300, 3600, 4900 series only).Can be easily taken apart for cleaning.Very Quiet OperationReliable and EfficientAll Materials Are Salt Water Resistant2 + 1 Year Guarantee

Replacement Parts/Media:
25010I - Impeller Set - 360/480 Series 10i

Additional Info:
Item Code: 11349Description: 480 Moray PH 720 L/hr 0.96 Mh/hMax Flow Rate: 720L/HrMax. Head Height: 0.96mWattage: 8.5WVoltage: 220 - 240V

Suitable for:
Coldwater, Tropical & Marine

2 + 1 Year Guarant"
Aqua One Moray 3600 Pump,1,"Description:
Aqua One Moray Aquarium Pumps provide water circulation and aeration in freshwater and salt water aquariums. The latest range of Moray pumps are energy efficient, quiet, reliable and versatile and are available in a range of sizes to suit various aquatic environments.

3600 Moray PH 3600 L/Hr 3.4m Mh/H

Features & Benefits:Fully SubmersibleOil free motor ensures no toxic chemicals are released into the aquarium.Multipurpose - Can also be used for running devices such as protein skimmers, fountains, waterfalls and ponds (applies to 2300, 3600, 4900 series only).Can be easily taken apart for cleaning.Very Quiet OperationReliable and EfficientAll Materials Are Salt Water Resistant2 + 1 Year Guarantee

Replacement Parts/Media:
25017I - Impeller Set - 3600 Series 17i25017S - Sponge - 3600-4900 Series (1pk) 17S

Additional Info:
Item Code: 11357Description: 3600 Moray PH 3600 L/hr 3.4m Mh/hMax Flow Rate: 3600L/HrMax. Head Height: 3.40mWattage: 79WVoltage: 220 - 240V

Suitable for:
Coldwater, Tropical & Marine

2 + 1 Year Guarant"
Aqua One Moray 2300 Pump,1,"Description:
Aqua One Moray Aquarium Pumps provide water circulation and aeration in freshwater and salt water aquariums. The latest range of Moray pumps are energy efficient, quiet, reliable and versatile and are available in a range of sizes to suit various aquatic environments.

2300 Moray PH 2200 L/Hr 2.2m Mh/H

Features & Benefits:Fully SubmersibleOil free motor ensures no toxic chemicals are released into the aquarium.Multipurpose - Can also be used for running devices such as protein skimmers, fountains, waterfalls and ponds (applies to 2300, 3600, 4900 series only).Can be easily taken apart for cleaning.Very Quiet OperationReliable and EfficientAll Materials Are Salt Water Resistant2 + 1 Year Guarantee

Additional Info:
Item Code: 11354Description: 2300 Moray PH 2200 L/hr 2.2m Mh/hMax Flow Rate: 2200L/HrMax. Head Height: 2.2mWattage: 30WVoltage: 220 - 240V

Suitable for:
Coldwater, Tropical & Marine

2 + 1 Year Guarant"
Aquael Pat Mini Filter 400lph,1,"AQUAEL presents a revolutionary new line of internal aquarium filters.The  ASAP filters combine high performance and great usability features with  a clever design that reduces the time required for maintenance works. 

The ASAP internal filter consists of a modern energy-efficient motor placed in a stylish housing and a large transparent filter bowl filled with carefully chosen filtration sponge. 
The sponge is quickly populated by beneficial bacteria, so water passing through the filter undergoes biological as well as mechanical filtration. Thanks to that, it stays clear and safe for the inhabitants of the aquarium. The filter requires two basic types of maintenance procedures. One consists in removing the filter bowl and replacing it with a new one (we offer standard cartridges as well as cartridges with activated carbon or phosphate absorber to prevent the growth of algae). The other involves the rinsing of filtration sponge in water drained from the tank. This operation can be performed without the need to remove the entire filter from the aquarium tank, which is very convenient and significantly reduces maintenance time. 

The new ASAP internal filters are also ideally suited for use in aqua terrariums, since they can operate in shallow water as little as 5 centimetres deep. In addition, they effectively oxygenate water in the tank by causing a strong movement of the water surface. There are three models of the filter available, with a capacity of 300, 500, and 700 l/h correspondingly. They are designed for use in aquarium tanks with capacities ranging from a few dozen to 250 litres. Thanks to their functional properties, these filters can be used by beginning and experienced aquarists alik"
Wave Maker,1,"Pump Model:
HWM 2000HWM 4000HWM 60"
Maxi Power Head,1,"Filter Model: 

1011021"
Aqua One Glass Nano Heater,1,"Description:
Maintaining correct water temperature is an essential requirement for  keeping fish happy and healthy, especially in tropical aquariums and even for Betta Fish!Aqua one makes it easy to maintain the correct temperature with the Nano Preset Heater! Providing precise preset temperature and supreme durability, you will be on your way to professional fish keeping in no time.Wattage:10w25w50w

Features & Benefits:
Preset Thermostat Set to 25°C + or -10Easy Set up and MaintenanceAvailable in Different Wattage to Suit Aquarium SizeDurable Glass Heater

Suitable for:
Tropical, Marine & Bet"
ThermoSafe Heater,1,"Description:
Maintaining water temperature is an essential requirement for keeping  fish happy and healthy, especially in tropical aquariums. Aqua One  ThermoSafe heaters are made from high quality quartz which makes them  durable and shatter resistant. The thermal cut out protection safeguards  the heater from damage if accidently exposed to water shortage.Simple to use, with an easy to read temperature guide, Aqua One ThermoSafe heaters are the optimum choice for your fish!

Wattage:
25w (17cm)50w (21cm)100w (25cm)150w (27cm)200w (30cm)300w (36cm)

Features & Benefits:
High Quality HeaterShatter Resistant Quartz GlassMicrochip Controlled Thermal Cut-OffFully SubmersibleSimple Installation with Suction Clips ProvidedEasy to Read Temperature GuideIndicator Lig"
Aquael Easyheater,9,"Description:
Easy Heater is a technologically advanced device whose housing is made ​​of special composite plastic. 
This makes the heater unbreakable and highly resistant even to strong impacts. The device is also noticeable for its functional shape: it is flat, thin and small in size, which means that it can be easily made inconspicuous in an aquarium.

Wattage:
25w50w75w100w15"
Eheim Heater,5,"Description:
EHEIM 
adjustable heater is an ultra-modern electronic thermal device with the best available technology. A jacket made from special laboratory glass increases the heating surface, serves as a heat shield and ensures optimum even heat emission. And no matter if you want to heat a 20 or a 1000 litre aquarium – you have 4 sizes to choose from.Wattage: 150w200w250w300w

Features & Benefits:
Precise Temperature Adjustment from 18 up to 34 °CSimple and Safe Recalibration (±2 °C)Temperature Control Accuracy ± 0,5 °CHeat Kept at a Constant LevelHeating Function Is Indicated by a Control LampCompletely Submersible (Watertight)With Automatic Dry Run Shut-Off (Thermo Safety Control)A Glass Jacket Increases the Heating Surface and Ensures Optimum Even Heat EmissionHandy Cable Length CA. 170 CMIncluding Double Suction Cup Holder4 Sizes for Aquariums from 20 up to 1000 LitresSuitable for Fresh and Saltwat"
